question_id,question,category,ground_truth,source_ids,generated_answer,retrieved_urls,first_correct_url_rank,reciprocal_rank,precision_at_5,answer_f1,contextual_precision,latency,dense_titles,sparse_titles,context_titles
1,What is Vaccination?,factual,Vaccination is the administration of a vaccine to help the immune system develop immunity from a disease.,['S067'],the administration of a vaccine,"['https://en.wikipedia.org/wiki/Vaccination', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Immunology', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Virtualization']",1,1.0,0.2,0.375,1.0,3.4910976886749268,"['Vaccination', 'Immunology', 'Virtualization', 'Photography', 'Medicine']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Vaccination', 'Education', 'Immunology', 'Evolutionary biology', 'Virtualization']"
2,What is United Nations?,factual,"The United Nations (UN) is a global intergovernmental organization established by the signing of the UN Charter on 26 June 1945 with the articulated mission of maintaining international peace and security, to develop friendly relations among states, to promote international cooperation, and to serve as a centre for harmonizing the actions of states in achieving those goals.",['S110'],international organization,"['https://en.wikipedia.org/wiki/United_Nations', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_74', 'https://en.wikipedia.org/wiki/Canada', 'https://en.wikipedia.org/wiki/International_relations']",1,1.0,0.2,0.07692307692307693,1.0,1.964548110961914,"['United Nations', 'United Nations Security Council Resolution 74', 'International relations', 'Human rights', 'International law']","['United States', 'Canada', 'Evolutionary biology', 'Education', 'Philosophy']","['United Nations', 'United States', 'United Nations Security Council Resolution 74', 'Canada', 'International relations']"
3,What is Macroeconomics?,factual,"Heterodox Macroeconomics is a branch of economics that deals with the performance, structure, behavior, and decision-making of an economy as a whole.",['S031'],a branch of economics,"['https://en.wikipedia.org/wiki/Macroeconomics', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Microeconomics', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Economics']",1,1.0,0.2,0.2727272727272727,1.0,1.7044291496276855,"['Macroeconomics', 'Microeconomics', 'Economics', 'Fiscal policy', 'Capitalism']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Macroeconomics', 'Education', 'Microeconomics', 'Evolutionary biology', 'Economics']"
4,What is Constitution?,factual,"A constitution, or supreme law, is the aggregate of fundamental principles or established precedents that constitute the legal basis of a polity, organization or other type of entity, and commonly determines how that entity is to be governed.",['S112'],supreme law,"['https://en.wikipedia.org/wiki/Constitution', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Law', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Political_philosophy']",1,1.0,0.2,0.1111111111111111,1.0,1.5942599773406982,"['Constitution', 'Law', 'Political philosophy', 'Democracy', 'Governance']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Constitution', 'Education', 'Law', 'Evolutionary biology', 'Political philosophy']"
5,What is DNA?,factual,Deoxyribonucleic acid (pronunciationⓘ; DNA) is a polymer composed of two polynucleotide chains that coil around each other to form a double helix.,['S014'],polymer,"['https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Genetic_engineering', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Biology']",1,1.0,0.2,0.09523809523809523,1.0,1.7090470790863037,"['DNA', 'Genetic engineering', 'Biology', 'BREA2', 'Genetics']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['DNA', 'Education', 'Genetic engineering', 'Evolutionary biology', 'Biology']"
6,What is Open source?,factual,Open source is source code that is made freely available for possible modification and redistribution.,['S043'],software development model,"['https://en.wikipedia.org/wiki/Open_source', 'https://en.wikipedia.org/wiki/World_Wide_Web', 'https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Compiler', 'https://en.wikipedia.org/wiki/Ballinascarty']",1,1.0,0.2,0.0,1.0,2.3938612937927246,"['Open source', 'World Wide Web', 'Compiler', 'Software engineering', 'Money.Net']","['Open source', 'Religion', 'Ballinascarty', 'List of Italian football transfers winter 2007–08', 'Philosophy']","['Open source', 'World Wide Web', 'Religion', 'Compiler', 'Ballinascarty']"
7,What is Dance?,factual,"Dance is an art form, consisting of sequences of body movements with aesthetic and often symbolic value, either improvised or purposefully selected.",['S096'],Evolutionary biology),"['https://en.wikipedia.org/wiki/Dance', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Theatre', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Music']",1,1.0,0.2,0.0,1.0,1.3775081634521484,"['Dance', 'Theatre', 'Music', 'Art', 'Film']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Dance', 'Education', 'Theatre', 'Evolutionary biology', 'Music']"
8,What is Biology?,factual,Biology is the scientific study of life and living organisms.,['S003'],the scientific study of life and living organisms,"['https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Genetics', 'https://en.wikipedia.org/wiki/Philosophy']",2,0.5,0.2,0.8750000000000001,1.0,1.821300983428955,"['Biology', 'Evolutionary biology', 'Genetics', 'Biotechnology', 'Ecology']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Evolutionary biology', 'Biology', 'Education', 'Genetics', 'Philosophy']"
9,What is Database?,factual,"In computing, a database is an organized collection of data or a type of data store based on the use of a database management system (DBMS), the software that interacts with end users, applications, and the database itself to capture and analyze the data.",['S046'],an organized collection of data or a type of data store,"['https://en.wikipedia.org/wiki/Database', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Computer_science', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Data_science']",1,1.0,0.2,0.4,1.0,1.9385716915130615,"['Database', 'Computer science', 'Data science', 'Machine learning', 'Astronomy']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Database', 'Education', 'Computer science', 'Evolutionary biology', 'Data science']"
10,What is Immunology?,factual,Immunology is a branch of biology and medicine that covers the study of immune systems in all organisms.,['S065'],branch of biology and medicine,"['https://en.wikipedia.org/wiki/Immunology', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Vaccination', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Medicine']",1,1.0,0.2,0.47619047619047616,1.0,1.427206039428711,"['Immunology', 'Vaccination', 'Medicine', 'Epidemiology', 'Public health']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Immunology', 'Education', 'Vaccination', 'Evolutionary biology', 'Medicine']"
